Warehouse ID,Last Modified Time,Created Time,Warehouse Name
9465000000009056,2024-08-02 22:01:50,2024-07-28 04:45:57,Main WH
9465000000009078,2024-08-09 14:40:55,2024-07-28 04:45:57,Asir WH
9465000000009109,2024-08-09 14:40:57,2024-07-28 04:47:52,Rashid WH
9465000000093344,2024-11-22 11:18:12,2024-08-02 15:19:33,DACTVTD wh(shahid)
9465000003525082,2025-05-26 09:45:16,2024-09-14 10:35:32,Jamsheed WH
9465000015588996,2025-05-27 09:39:50,2025-05-26 09:45:55,MAJEED
9465000006147005,2025-06-22 15:42:49,2024-11-22 11:18:59,SEB VEHICLE WH
